_r,_x,_y,_p,RAJ2000,DEJ2000,errMaj,errMin,errPA,_2MASS,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Rflg,Bflg,Cflg,Ndet,prox,pxPA,pxCntr,Xflg,Aflg,Cntr,Hemis,Date,Scan,GLON,GLAT,Xscan,_tab1_36,Jpsfchi,Hpsfchi,Kpsfchi,Jstdap,e_Jstdap,Hstdap,e_Hstdap,Kstdap,e_Kstdap,edgeNS,edgeEW,edge,dup,use,opt,Dopt,PAopt,Bmag,Rmag,Nopt,extKey,scanKey,coaddKey,coadd,Opt
0.108629,-0.074215,-0.079325,223.1,257.787289,-39.260281,0.06,0.06,45,17110894-3915370,14.824,0.080,0.080,22.8,13.522,0.066,0.067,28.2,12.954,0.063,0.064,29.8,AAA,222,111,000,666666,5.8,204,672001972,0,0,672002002,s,1999-08-09,11,347.465,0.198,65.2,2451400.4889,1.20,2.94,1.84,14.637,0.067,13.242,0.052,12.593,0.044,9871,188,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.099343,-0.067634,-0.072764,222.9,257.795796,-39.253727,0.06,0.06,45,17111099-3915134,12.511,0.034,0.036,191.9,10.974,0.032,0.034,294.7,10.361,0.028,0.029,325.1,AEA,222,111,000,666655,4.6,274,672002118,0,0,672002116,s,1999-08-09,11,347.475,0.196,41.5,2451400.4889,8.78,11.35,3.27,12.369,0.019,10.881,0.026,10.257,0.020,9895,211,sw,0,1,U,1.4,80,20.30,17.50,1,,36753,845307,127,Opt
0.096531,-0.058501,-0.076784,217.3,257.807587,-39.257755,0.06,0.06,45,17111382-3915279,13.800,0.031,0.033,58.5,12.983,0.045,0.046,46.3,12.471,0.039,0.040,46.6,AAA,222,111,000,666644,6.4,239,672002034,0,0,672002054,s,1999-08-09,11,347.477,0.186,8.6,2451400.4889,0.72,0.59,0.70,13.772,0.036,12.914,0.028,12.495,0.027,9880,244,sw,0,1,U,0.2,343,18.40,16.80,1,,36753,845307,127,Opt
0.094342,-0.055687,-0.076153,216.2,257.811221,-39.257126,0.17,0.16,68,17111469-3915256,15.832,0.134,0.135,9.0,15.373,,,,14.798,,,,BUU,200,100,c00,060000,8.0,7,672002094,0,0,672002062,s,1999-08-09,11,347.479,0.184,-1.5,2451400.4889,0.73,,,17.654,1.042,,,,,9883,251,se,0,1,0,,,,,0,,36753,845307,127,Opt
0.098184,-0.060017,-0.077706,217.7,257.805628,-39.258675,0.06,0.06,45,17111335-3915312,14.485,0.086,0.087,31.2,13.900,0.072,0.072,19.9,13.558,0.085,0.085,17.1,AAA,222,111,000,666616,6.4,59,672002054,0,0,672002034,s,1999-08-09,11,347.475,0.187,14.1,2451400.4889,0.41,0.44,0.56,14.450,0.044,13.815,0.089,13.554,0.102,9877,239,sw,0,1,U,0.4,167,19.70,17.30,1,,36753,845307,127,Opt
0.091992,-0.057602,-0.071726,218.8,257.808753,-39.252697,0.08,0.08,45,17111410-3915097,16.723,,,,13.905,0.053,0.054,19.8,12.735,0.026,0.028,36.5,UEA,022,011,0cc,000666,11.3,135,672002094,0,0,672002136,s,1999-08-09,11,347.481,0.189,5.4,2451400.4889,,0.59,1.04,,,14.424,0.082,13.037,0.058,9899,248,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.106099,-0.072972,-0.077020,223.5,257.788897,-39.257977,0.08,0.08,45,17110933-3915287,15.650,,,,12.764,0.032,0.034,56.7,11.520,0.028,0.029,111.8,UAA,022,011,000,006666,8.2,297,672002067,0,0,672002047,s,1999-08-09,11,347.468,0.198,60.7,2451400.4889,,0.57,0.79,,,12.753,0.016,11.506,0.018,9880,192,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.101677,-0.061219,-0.081182,217.0,257.804072,-39.262150,0.06,0.06,45,17111297-3915437,13.845,0.053,0.054,56.2,13.170,0.062,0.062,39.0,12.811,0.057,0.057,34.0,AAA,222,111,000,666666,6.6,15,672001999,0,0,672001966,s,1999-08-09,11,347.472,0.186,18.4,2451400.4889,1.77,1.65,1.28,13.795,0.029,13.055,0.028,12.769,0.035,9865,235,sw,0,1,U,0.7,262,18.80,16.70,1,,36753,845307,127,Opt
0.100155,-0.068909,-0.072682,223.5,257.794150,-39.253643,0.06,0.06,45,17111059-3915131,13.445,0.035,0.037,81.2,12.218,0.038,0.039,93.7,11.792,0.038,0.039,87.0,AAA,222,111,ccc,556666,4.6,94,672002116,0,0,672002118,s,1999-08-09,11,347.474,0.197,46.1,2451400.4889,1.05,1.10,0.83,12.929,0.093,11.614,0.092,11.127,0.055,9895,207,sw,0,1,U,3.2,280,20.30,17.50,1,,36753,845307,127,Opt
0.105504,-0.068869,-0.079926,220.8,257.794192,-39.260887,0.11,0.11,135,17111060-3915391,15.524,0.078,0.079,12.0,15.219,,,,14.691,,,,AUU,200,100,000,060000,5.5,194,672001959,0,0,672001988,s,1999-08-09,11,347.468,0.193,46.0,2451400.4889,0.96,,,16.427,0.262,,,,,9869,207,sw,0,1,0,,,,,0,,36753,845307,127,Opt
